fps,highquality,rep,min_oracle_dscore
10,False,0,0.48
10,False,1,0.09010879866255761
10,False,2,0.1833375578084321
10,False,3,0.16173128426692962
10,False,4,0.11068979274629892
10,False,5,0.07840987507405428
10,False,6,0.2594702524249635
10,False,7,0.33932140332344346
10,False,8,0.07328808137008405
10,False,9,0.027757240381570094
10,True,0,0.07425953861985311
10,True,1,0.1581142485778007
10,True,2,0.05450941170906721
10,True,3,0.04551202074682943
10,True,4,0.027757240381570094
10,True,5,0.08936623017516317
10,True,6,0.09398845969086204
10,True,7,0.2373982627618534
10,True,8,0.04551202074682943
10,True,9,0.09316916577134964
15,False,0,0.21266450621873328
15,False,1,0.36
15,False,2,0.05450941170906721
15,False,3,0.06655551190272972
15,False,4,0.16173128426692962
15,False,5,0.07840987507405428
15,False,6,0.04494031348977676
15,False,7,0.023118850788087304
15,False,8,0.2208192328517085
15,False,9,0.36
15,True,0,0.04494031348977676
15,True,1,0.07840987507405428
15,True,2,0.052178272094331
15,True,3,0.1833375578084321
15,True,4,0.23771040301941362
15,True,5,0.05961740443943107
15,True,6,0.36
15,True,7,0.10788658289991691
15,True,8,0.16997593549055667
15,True,9,0.16173128426692962
20,False,0,0.1886235819272636
20,False,1,0.1437194250863922
20,False,2,0.2202156103833662
20,False,3,0.05961740443943107
20,False,4,0.36
20,False,5,0.004505329353634849
20,False,6,0.10358275624910135
20,False,7,0.26437424042418484
20,False,8,0.07425953861985311
20,False,9,0.29377791116151825
20,True,0,0.1409859870738347
20,True,1,0.12211025428100353
20,True,2,0.26437424042418484
20,True,3,0.05961740443943107
20,True,4,0.2955705040798966
20,True,5,0.10788658289991691
20,True,6,0.2538279005045758
20,True,7,0.12589834450634058
20,True,8,0.1090041285642901
20,True,9,0.36
